timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-26 16:47:17 (Turn 1: 00:37),E0169,1,Buy,TSLA,15,10000.0,4933.0,0.0,5067.0,10000.0,15,0,0,0,5067.0,0.0,0.0,0.0
2025-04-26 16:47:29 (Turn 1: 00:25),E0169,1,Buy,PG,30,4933.0,511.0,5067.0,9489.0,10000.0,15,0,0,30,5067.0,0.0,0.0,4422.0
2025-04-26 16:48:12 (Turn 2: 00:46),E0169,2,Sell,TSLA,15,511.0,6091.0,10039.8,4459.8,10550.8,0,0,0,30,0.0,0.0,0.0,4459.8
2025-04-26 16:48:30 (Turn 2: 00:28),E0169,2,Sell,PG,30,6091.0,10550.8,4459.8,0.0,10550.8,0,0,0,0,0.0,0.0,0.0,0.0
2025-04-26 16:48:36 (Turn 2: 00:21),E0169,2,Buy,PG,30,10550.8,6090.999999999999,0.0,4459.8,10550.8,0,0,0,30,0.0,0.0,0.0,4459.8
2025-04-26 16:49:22 (Turn 3: 00:39),E0169,3,Buy,TSLA,15,6090.999999999999,1045.8999999999996,4564.5,9609.6,10655.499999999998,15,0,0,30,5045.099999999999,0.0,0.0,4564.5
2025-04-26 16:49:40 (Turn 3: 00:21),E0169,3,Buy,NFLX,1,1045.8999999999996,433.2099999999996,9609.6,10222.29,10655.499999999998,15,0,1,30,5045.099999999999,0.0,612.69,4564.5
2025-04-26 16:50:20 (Turn 4: 00:44),E0169,4,Sell,NFLX,1,433.2099999999996,1038.2499999999995,10250.79,9645.75,10684.0,15,0,0,30,4879.95,0.0,0.0,4765.8
2025-04-26 16:50:49 (Turn 4: 00:15),E0169,4,Sell,TSLA,5,1038.2499999999995,2664.9,9645.75,8019.1,10684.0,10,0,0,30,3253.3,0.0,0.0,4765.8
2025-04-26 16:50:57 (Turn 4: 00:07),E0169,4,Sell,PG,16,2664.9,5206.66,8019.1,5477.34,10684.0,10,0,0,14,3253.3,0.0,0.0,2224.04
2025-04-26 16:51:00 (Turn 4: 00:05),E0169,4,Buy,PG,16,5206.66,2664.9,5477.34,8019.1,10684.0,10,0,0,30,3253.3,0.0,0.0,4765.8
2025-04-26 16:51:00 (Turn 4: 00:04),E0169,4,Buy,PG,16,2664.9,123.13999999999942,8019.1,10560.86,10684.0,10,0,0,46,3253.3,0.0,0.0,7307.56
2025-04-26 16:51:31 (Turn 5: 00:36),E0169,5,Sell,TSLA,10,123.13999999999942,3769.64,11097.12,7450.62,11220.259999999998,0,0,0,46,0.0,0.0,0.0,7450.62
2025-04-26 16:51:45 (Turn 5: 00:23),E0169,5,Sell,PG,46,3769.64,11220.259999999998,7450.62,0.0,11220.259999999998,0,0,0,0,0.0,0.0,0.0,0.0
