timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-11 16:34:52 (Turn 1: 00:33),N8713,1,Buy,TSLA,1,10000.0,9662.2,0.0,337.8,10000.0,1,0,0,0,337.8,0.0,0.0,0.0
2025-04-11 16:35:07 (Turn 1: 00:18),N8713,1,Buy,NFLX,1,9662.2,8982.87,337.8,1017.13,10000.0,1,0,1,0,337.8,0.0,679.33,0.0
2025-04-11 16:35:12 (Turn 1: 00:13),N8713,1,Buy,PG,1,8982.87,8835.470000000001,1017.13,1164.53,10000.000000000002,1,0,1,1,337.8,0.0,679.33,147.4
2025-04-11 16:35:14 (Turn 1: 00:12),N8713,1,Buy,PG,1,8835.470000000001,8688.070000000002,1164.53,1311.93,10000.000000000002,1,0,1,2,337.8,0.0,679.33,294.8
2025-04-11 16:36:04 (Turn 2: 00:25),N8713,2,Buy,PG,1,8688.070000000002,8539.410000000002,1327.61,1476.27,10015.680000000002,1,0,1,3,372.0,0.0,658.29,445.98
2025-04-11 16:36:17 (Turn 2: 00:11),N8713,2,Buy,TSLA,1,8539.410000000002,8167.410000000002,1476.27,1848.27,10015.680000000002,2,0,1,3,744.0,0.0,658.29,445.98
2025-04-11 16:36:28 (Turn 2: 00:01),N8713,2,Buy,NFLX,1,8167.410000000002,7509.120000000002,1848.27,2506.56,10015.680000000002,2,0,2,3,744.0,0.0,1316.58,445.98
2025-04-11 16:36:53 (Turn 3: 00:38),N8713,3,Sell,NFLX,1,8167.410000000002,8780.100000000002,2354.51,1741.8200000000002,10521.920000000002,2,0,1,3,672.68,0.0,612.69,456.4500000000001
2025-04-11 16:37:02 (Turn 3: 00:29),N8713,3,Buy,XOM,1,8780.100000000002,8718.520000000002,1741.8200000000002,1803.4,10521.920000000002,2,1,1,3,672.68,61.58,612.69,456.4500000000001
2025-04-11 16:37:15 (Turn 3: 00:16),N8713,3,Sell,TSLA,1,8718.520000000002,9054.860000000002,1803.4,1467.0600000000002,10521.920000000002,1,1,1,3,336.34,61.58,612.69,456.4500000000001
2025-04-11 16:37:17 (Turn 3: 00:14),N8713,3,Buy,TSLA,1,9054.860000000002,8718.520000000002,1467.0600000000002,1803.4,10521.920000000002,2,1,1,3,672.68,61.58,612.69,456.4500000000001
2025-04-11 16:37:56 (Turn 4: 00:38),N8713,4,Buy,PG,1,8718.520000000002,8559.660000000002,1793.55,1952.41,10512.070000000002,2,1,1,4,650.66,61.27,605.04,635.44
2025-04-11 16:38:13 (Turn 4: 00:21),N8713,4,Buy,TSLA,1,8559.660000000002,8234.330000000002,1952.41,2277.74,10512.070000000002,3,1,1,4,975.99,61.27,605.04,635.44
2025-04-11 16:38:19 (Turn 4: 00:15),N8713,4,Buy,XOM,1,8234.330000000002,8173.060000000001,2277.74,2339.01,10512.070000000002,3,2,1,4,975.99,122.54,605.04,635.44
2025-04-11 16:38:31 (Turn 4: 00:02),N8713,4,Sell,NFLX,1,8173.060000000001,8778.100000000002,2339.01,1733.97,10512.070000000002,3,2,0,4,975.99,122.54,0.0,635.44
2025-04-11 16:39:00 (Turn 5: 00:37),N8713,5,Buy,NFLX,1,8778.100000000002,8164.980000000002,1865.61,2478.73,10643.710000000005,3,2,1,4,1093.9499999999998,123.78,613.12,647.88
2025-04-11 16:39:01 (Turn 5: 00:36),N8713,5,Buy,NFLX,1,8164.980000000002,7551.860000000002,2478.73,3091.85,10643.710000000005,3,2,2,4,1093.9499999999998,123.78,1226.24,647.88
2025-04-11 16:39:05 (Turn 5: 00:32),N8713,5,Buy,NFLX,1,7551.860000000002,6938.7400000000025,3091.85,3704.97,10643.710000000005,3,2,3,4,1093.9499999999998,123.78,1839.36,647.88
2025-04-11 16:39:08 (Turn 5: 00:29),N8713,5,Buy,NFLX,1,6938.7400000000025,6325.620000000003,3704.97,4318.09,10643.710000000005,3,2,4,4,1093.9499999999998,123.78,2452.48,647.88
2025-04-11 16:39:08 (Turn 5: 00:29),N8713,5,Buy,NFLX,1,6325.620000000003,5712.500000000003,4318.09,4931.21,10643.710000000005,3,2,5,4,1093.9499999999998,123.78,3065.6,647.88
2025-04-11 16:39:09 (Turn 5: 00:28),N8713,5,Sell,NFLX,1,5712.500000000003,6325.620000000003,4931.21,4318.09,10643.710000000005,3,2,4,4,1093.9499999999998,123.78,2452.48,647.88
2025-04-11 16:39:16 (Turn 5: 00:21),N8713,5,Buy,PG,1,6325.620000000003,6163.650000000002,4318.09,4480.06,10643.710000000005,3,2,4,5,1093.9499999999998,123.78,2452.48,809.85
2025-04-11 16:39:30 (Turn 5: 00:07),N8713,5,Buy,TSLA,1,6163.650000000002,5799.000000000003,4480.06,4844.71,10643.710000000005,4,2,4,5,1458.6,123.78,2452.48,809.85
2025-04-11 16:39:53 (Turn 6: 00:46),N8713,6,Sell,TSLA,1,5799.000000000003,6161.710000000003,4675.47,4312.76,10474.470000000005,3,2,4,5,1088.13,133.5,2270.08,821.0500000000001
2025-04-11 16:39:53 (Turn 6: 00:46),N8713,6,Sell,TSLA,1,6161.710000000003,6524.420000000003,4312.76,3950.05,10474.470000000005,2,2,4,5,725.42,133.5,2270.08,821.0500000000001
