timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-03-04 14:27:40 (Turn 1: 00:59),user1,1,Buy,TSLA,1,10000.0,9662.2,0.0,337.8,10000.0,1,0,0,0,337.8,0.0,0.0,0.0
2025-03-04 14:27:40 (Turn 1: 00:58),user1,1,Buy,TSLA,1,9662.2,9324.400000000001,337.8,675.6,10000.000000000002,2,0,0,0,675.6,0.0,0.0,0.0
2025-03-04 14:27:41 (Turn 1: 00:58),user1,1,Buy,TSLA,1,9324.400000000001,8986.600000000002,675.6,1013.4000000000001,10000.000000000002,3,0,0,0,1013.4000000000001,0.0,0.0,0.0
2025-03-04 14:27:41 (Turn 1: 00:58),user1,1,Buy,TSLA,1,8986.600000000002,8648.800000000003,1013.4000000000001,1351.2,10000.000000000004,4,0,0,0,1351.2,0.0,0.0,0.0
2025-03-04 14:27:41 (Turn 1: 00:58),user1,1,Buy,TSLA,1,8648.800000000003,8311.000000000004,1351.2,1689.0,10000.000000000004,5,0,0,0,1689.0,0.0,0.0,0.0
2025-03-04 14:27:43 (Turn 1: 00:56),user1,1,Buy,XOM,1,8311.000000000004,8246.630000000003,1689.0,1753.37,10000.000000000004,5,1,0,0,1689.0,64.37,0.0,0.0
2025-03-04 14:27:43 (Turn 1: 00:55),user1,1,Buy,XOM,1,8246.630000000003,8182.260000000003,1753.37,1817.74,10000.000000000004,5,2,0,0,1689.0,128.74,0.0,0.0
2025-03-04 14:27:44 (Turn 1: 00:55),user1,1,Buy,XOM,1,8182.260000000003,8117.890000000003,1817.74,1882.1100000000001,10000.000000000004,5,3,0,0,1689.0,193.11,0.0,0.0
2025-03-04 14:27:44 (Turn 1: 00:55),user1,1,Buy,XOM,1,8117.890000000003,8053.520000000003,1882.1100000000001,1946.48,10000.000000000004,5,4,0,0,1689.0,257.48,0.0,0.0
2025-03-04 14:27:44 (Turn 1: 00:55),user1,1,Buy,XOM,1,8053.520000000003,7989.150000000003,1946.48,2010.85,10000.000000000004,5,5,0,0,1689.0,321.85,0.0,0.0
2025-03-04 14:27:44 (Turn 1: 00:55),user1,1,Buy,XOM,1,7989.150000000003,7924.780000000003,2010.85,2075.2200000000003,10000.000000000004,5,6,0,0,1689.0,386.22,0.0,0.0
2025-03-04 14:27:46 (Turn 1: 00:53),user1,1,Sell,TSLA,1,7924.780000000003,8262.580000000004,2075.2200000000003,1737.42,10000.000000000004,4,6,0,0,1351.2,386.22,0.0,0.0
2025-03-04 14:27:46 (Turn 1: 00:53),user1,1,Sell,TSLA,1,8262.580000000004,8600.380000000003,1737.42,1399.6200000000001,10000.000000000004,3,6,0,0,1013.4000000000001,386.22,0.0,0.0
2025-03-04 14:27:46 (Turn 1: 00:53),user1,1,Sell,TSLA,1,8600.380000000003,8938.180000000002,1399.6200000000001,1061.8200000000002,10000.000000000002,2,6,0,0,675.6,386.22,0.0,0.0
2025-03-04 14:27:46 (Turn 1: 00:53),user1,1,Sell,TSLA,1,8600.380000000003,8938.180000000002,1061.8200000000002,724.02,9662.200000000003,1,6,0,0,337.8,386.22,0.0,0.0
2025-03-04 14:27:46 (Turn 1: 00:53),user1,1,Sell,TSLA,1,8938.180000000002,9275.980000000001,724.02,386.22,9662.2,0,6,0,0,0.0,386.22,0.0,0.0
2025-03-04 14:27:49 (Turn 1: 00:50),user1,1,Sell,XOM,1,9275.980000000001,9340.350000000002,386.22,321.85,9662.200000000003,0,5,0,0,0.0,321.85,0.0,0.0
2025-03-04 14:27:49 (Turn 1: 00:49),user1,1,Sell,XOM,1,9340.350000000002,9404.720000000003,321.85,257.48,9662.200000000003,0,4,0,0,0.0,257.48,0.0,0.0
2025-03-04 14:27:50 (Turn 1: 00:49),user1,1,Sell,XOM,1,9404.720000000003,9469.090000000004,257.48,193.11,9662.200000000004,0,3,0,0,0.0,193.11,0.0,0.0
2025-03-04 14:27:50 (Turn 1: 00:49),user1,1,Sell,XOM,1,9469.090000000004,9533.460000000005,193.11,128.74,9662.200000000004,0,2,0,0,0.0,128.74,0.0,0.0
2025-03-04 14:27:50 (Turn 1: 00:49),user1,1,Sell,XOM,1,9533.460000000005,9597.830000000005,128.74,64.37,9662.200000000006,0,1,0,0,0.0,64.37,0.0,0.0
2025-03-04 14:27:50 (Turn 1: 00:49),user1,1,Sell,XOM,1,9597.830000000005,9662.200000000006,64.37,0.0,9662.200000000006,0,0,0,0,0.0,0.0,0.0,0.0
